,MedianAge_bin,age_no2,MedianIncome_bin,income_no2,PercentPOC_bin,poc_no2,PercentPoverty_bin,pov_no2,poc_anom,age_anom,income_anom,pov_anom,income_pop,age_pop,poc_pop,pov_pop
0,15-20,3.279831499,$20000-43000,2.8657936666,0-8%,1.8033193797385147,0-2%,2.5125698478,-0.8766806202614854,0.599831499,0.18579366659999996,-0.16743015220000013,10713180,1548020,36793605,335513470
1,20-25,2.0930754569,$43000-66000,3.1570051299,8-16%,2.333104812554393,2-3%,2.8383954819,-0.346895187445607,-0.5869245431000003,0.47700512989999977,0.15839548189999997,68037625,5154315,125710070,80090025
2,25-30,3.2035463562,$66000-89000,2.9284287132,16-24%,2.625428720471129,3-5%,3.0209363559,-0.05457127952887131,0.5235463561999998,0.24842871320000004,0.3409363558999998,132469390,30658655,135966645,41790160
3,30-35,3.0668898976,$89000-112000,2.8008172517,24-32%,3.005304427994051,5-7%,2.9743114801,0.3253044279940509,0.3868898975999997,0.12081725169999968,0.29431148009999974,118390325,157001505,90229875,28854275
4,35-40,2.7509957831,$112000-135000,2.3665424849,32-40%,3.2021082782154524,7-8%,3.1935445442,0.5221082782154522,0.07099578309999988,-0.3134575151000001,0.5135445441999997,74519125,172141100,45413710,19020955
5,40-45,2.4693948175,$135000-158000,2.2808933236,40-48%,3.145849576655638,8-10%,3.4503235926,0.46584957665563786,-0.21060518250000015,-0.3991066764000002,0.7703235926,66915180,85051200,32904705,8996525
6,45-50,2.0702441999,$158000-181000,1.8620380133,48-56%,3.184779159328224,10-12%,3.6360967149,0.504779159328224,-0.6097558001000003,-0.8179619867000001,0.9560967148999997,28350690,51083065,28069535,2363210
7,50-55,1.8024059632,$181000-204000,2.0901652138,56-64%,3.2967897204157106,12-14%,3.4640886664,0.6167897204157105,-0.8775940368000001,-0.5898347862,0.7840886663999997,16409940,17518755,14089070,3212910
8,55-60,2.0472864092,$204000-227000,2.3548974289,64-72%,3.3784245332694094,14-15%,3.6433387596,0.6984245332694092,-0.6327135908000003,-0.32510257109999996,0.9633387596,5104435,2921170,11073940,3754920
9,60-65,1.6810327487,$227000-250000,1.8909135571,72-80%,3.5103226619012404,15-17%,3.6171950358,0.8303226619012403,-0.9989672513000001,-0.7890864429000002,0.9371950357999999,844045,582900,4577795,1071550
