OBJECTID,FIPS,FIPS_new,field_avg,date,hour_utc,hour_mountain,field_avg_bins,color
213,08031002101,8031,2.7896154,2024-02-01,15,8,2-3,seafoam
272,08031004404,8031,3.5494955,2024-02-01,15,8,3-4,yellow
273,08031004403,8031,3.0807257,2024-02-01,15,8,3-4,yellow
301,08031003701,8031,3.1203196,2024-02-01,15,8,3-4,yellow
302,08031003702,8031,3.205622,2024-02-01,15,8,3-4,yellow
303,08031003703,8031,3.4677167,2024-02-01,15,8,3-4,yellow
304,08031003901,8031,2.9015889,2024-02-01,15,8,2-3,seafoam
305,08031004102,8031,4.1675892,2024-02-01,15,8,4-5,orange
306,08031004103,8031,2.675591,2024-02-01,15,8,2-3,seafoam
307,08031004104,8031,2.6377444,2024-02-01,15,8,2-3,seafoam
386,08031004110,8031,3.1503932,2024-02-01,15,8,3-4,yellow
387,08031004108,8031,2.8497562,2024-02-01,15,8,2-3,seafoam
388,08031012016,8031,1.0713207,2024-02-01,15,8,1-2,teal
389,08031003501,8031,3.5307348,2024-02-01,15,8,3-4,yellow
390,08031004308,8031,3.4508705,2024-02-01,15,8,3-4,yellow
391,08031004309,8031,3.619112,2024-02-01,15,8,3-4,yellow
392,08031001705,8031,3.0799799,2024-02-01,15,8,3-4,yellow
393,08031001602,8031,2.8030517,2024-02-01,15,8,2-3,seafoam
394,08031001703,8031,2.975843,2024-02-01,15,8,2-3,seafoam
395,08031980200,8031,2.728286,2024-02-01,15,8,2-3,seafoam
396,08031001707,8031,2.7621758,2024-02-01,15,8,2-3,seafoam
397,08031004307,8031,3.4574234,2024-02-01,15,8,3-4,yellow
398,08031002704,8031,2.7772121,2024-02-01,15,8,2-3,seafoam
399,08031002706,8031,2.6402471,2024-02-01,15,8,2-3,seafoam
400,08031002804,8031,2.8829515,2024-02-01,15,8,2-3,seafoam
401,08031002102,8031,2.8018086,2024-02-01,15,8,2-3,seafoam
402,08031000704,8031,2.0819173,2024-02-01,15,8,2-3,seafoam
403,08031004310,8031,3.8058858,2024-02-01,15,8,3-4,yellow
404,08031001601,8031,2.9297512,2024-02-01,15,8,2-3,seafoam
405,08031001603,8031,2.7918785,2024-02-01,15,8,2-3,seafoam
406,08031001704,8031,3.0597811,2024-02-01,15,8,3-4,yellow
407,08031005003,8031,2.7378168,2024-02-01,15,8,2-3,seafoam
408,08031004112,8031,2.5881217,2024-02-01,15,8,2-3,seafoam
409,08031001706,8031,2.7597938,2024-02-01,15,8,2-3,seafoam
410,08031002405,8031,2.8129416,2024-02-01,15,8,2-3,seafoam
411,08031004109,8031,2.202935,2024-02-01,15,8,2-3,seafoam
412,08031004111,8031,2.1125684,2024-02-01,15,8,2-3,seafoam
413,08031004113,8031,3.5865414,2024-02-01,15,8,3-4,yellow
414,08031005004,8031,2.560703,2024-02-01,15,8,2-3,seafoam
415,08031006903,8031,2.288347,2024-02-01,15,8,2-3,seafoam
416,08031006902,8031,2.3956869,2024-02-01,15,8,2-3,seafoam
417,08031002604,8031,2.7773554,2024-02-01,15,8,2-3,seafoam
418,08031004407,8031,2.9765968,2024-02-01,15,8,2-3,seafoam
419,08031003005,8031,2.9502251,2024-02-01,15,8,2-3,seafoam
420,08031002705,8031,2.6495852,2024-02-01,15,8,2-3,seafoam
421,08031004406,8031,3.4127226,2024-02-01,15,8,3-4,yellow
422,08031002707,8031,2.636708,2024-02-01,15,8,2-3,seafoam
423,08031002404,8031,2.9580011,2024-02-01,15,8,2-3,seafoam
430,08031003502,8031,3.5916216,2024-02-01,15,8,3-4,yellow
431,08031012015,8031,1.065784,2024-02-01,15,8,1-2,teal
432,08031002805,8031,3.0036607,2024-02-01,15,8,3-4,yellow
433,08031003801,8031,3.0475831,2024-02-01,15,8,3-4,yellow
434,08031000503,8031,2.664094,2024-02-01,15,8,2-3,seafoam
457,08031015500,8031,3.0503712,2024-02-01,15,8,3-4,yellow
459,08031000703,8031,2.0776887,2024-02-01,15,8,2-3,seafoam
460,08031002708,8031,2.8820069,2024-02-01,15,8,2-3,seafoam
461,08031002709,8031,2.648967,2024-02-01,15,8,2-3,seafoam
462,08031003205,8031,2.7685328,2024-02-01,15,8,2-3,seafoam
463,08031003204,8031,3.0716131,2024-02-01,15,8,3-4,yellow
464,08031003006,8031,2.5429876,2024-02-01,15,8,2-3,seafoam
465,08031000705,8031,2.2277174,2024-02-01,15,8,2-3,seafoam
466,08031000504,8031,2.864172,2024-02-01,15,8,2-3,seafoam
467,08031000404,8031,2.7982185,2024-02-01,15,8,2-3,seafoam
468,08031000403,8031,2.5147927,2024-02-01,15,8,2-3,seafoam
469,08031003802,8031,2.9814692,2024-02-01,15,8,2-3,seafoam
470,08031000706,8031,2.4267962,2024-02-01,15,8,2-3,seafoam
471,08031006818,8031,2.0785282,2024-02-01,15,8,2-3,seafoam
472,08031006815,8031,1.8921869,2024-02-01,15,8,1-2,teal
473,08031006816,8031,1.6944451,2024-02-01,15,8,1-2,teal
474,08031007091,8031,2.4086461,2024-02-01,15,8,2-3,seafoam
475,08031015800,8031,3.6102657,2024-02-01,15,8,3-4,yellow
476,08031007090,8031,2.6806395,2024-02-01,15,8,2-3,seafoam
477,08031002603,8031,2.7906382,2024-02-01,15,8,2-3,seafoam
478,08031980001,8031,4.2431221,2024-02-01,15,8,4-5,orange
479,08031006817,8031,2.2446041,2024-02-01,15,8,2-3,seafoam
500,08031004602,8031,1.8457713,2024-02-01,15,8,1-2,teal
501,08031004603,8031,1.8557388,2024-02-01,15,8,1-2,teal
502,08031004700,8031,1.6001109,2024-02-01,15,8,1-2,teal
573,08031980100,8031,3.0428815,2024-02-01,15,8,3-4,yellow
595,08031003202,8031,2.7813191,2024-02-01,15,8,2-3,seafoam
596,08031003203,8031,2.8958504,2024-02-01,15,8,2-3,seafoam
597,08031003300,8031,3.303582,2024-02-01,15,8,3-4,yellow
598,08031003401,8031,2.9993517,2024-02-01,15,8,2-3,seafoam
602,08031004601,8031,1.7740251,2024-02-01,15,8,1-2,teal
608,08031003402,8031,3.0400066,2024-02-01,15,8,3-4,yellow
609,08031003602,8031,4.2112885,2024-02-01,15,8,4-5,orange
657,08031004801,8031,1.8034375,2024-02-01,15,8,1-2,teal
658,08031005001,8031,2.6249075,2024-02-01,15,8,2-3,seafoam
772,08031008388,8031,5.2416,2024-02-01,15,8,5-6,salmon
845,08031000201,8031,2.5595648,2024-02-01,15,8,2-3,seafoam
846,08031003003,8031,2.5550313,2024-02-01,15,8,2-3,seafoam
